Response ID,Parent Status,Concern_No human testing,Concern_Long term side effects,Concern_Not effective,Concern_Not necessary,Concern_Unclear who needs,Concern_not safe for children,Concern_Other,Concern_None,Concern_other text,Vax status,Political affiliation,rid,age,gender,hhi,ethnicity,hispanic,education,region,zip,political_party
R_1FyY2KOGfdA5PSQ,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I donplan on ever receiving the updated COVID-19 vaccine,Very Conservative,65679114-5104-6b6b-37d5-55d838e79ee5,69,1,9,1,1,2,3,28202,10
R_BDlqNFECe4q46J3,0,0,0,0,0,0,0,Some other concern,0,No conce4ns and I have taken the moetbrecent covid vaccine,I already received the updated 2023 COVID-19 vaccine,Slightly Conservative,656793fd-ca1c-34bf-5636-942e58b73e4f,70,2,9,1,1,6,3,24015,5
R_3IZ6pvpu7hjICad,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,Im not sure,Not Sure,65679593-8c42-46f3-8841-7bae4d416bdd,43,2,4,1,1,2,3,42633,7
R_QnLJRzns43vlXb3,"I am a parent, guardian, or caretaker of a child 18 or under",0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,The latest COVID-19 vaccine is not safe for children,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Very Conservative,656795d2-7506-6cd0-6ab9-f6504f8ab6a6,36,1,15,1,1,6,3,22655,10
R_3fTZUTfAuxAiWgx,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Liberal,6567956d-e90a-c5ca-d934-4d09726ccc61,77,1,20,1,1,7,1,11757,1
R_3gLrpVV4EccZFhO,0,0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Moderate,65679570-eef0-7e4a-b724-043755cb3ba5,65,2,2,1,1,2,1,08816,5
R_3iEfEzTrqpRgm2P,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,Im not sure,Very Liberal,65679607-de85-2646-b5c9-4583c3c0dd7e,64,1,3,1,1,4,2,60148,1
R_33xakT3EJ80RZ7D,0,0,0,0,0,0,0,Some other concern,0,It's not vegan,I donplan on ever receiving the updated COVID-19 vaccine,Moderate,656795c3-29fd-0d7a-f5af-59df2fa6cecc,63,2,12,1,1,4,3,29440,
R_3hmZWFA1LTOi6nK,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,656795c5-7386-15a5-48bf-90da455cb716,61,2,1,1,1,2,3,31312,1
R_7VQ4En0cHHjz7kl,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,656795d4-9f53-a7c2-5377-99d0d45d4c85,37,2,-3105,10,1,8,4,84096,6
R_25WmD2JxgBNbLtD,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,Im not sure,Not Sure,656795fb-128a-d768-8220-2e7578d7efd4,39,2,3,1,1,3,4,95301,7
R_YS80w9iv7AyKnId,0,0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I already received the updated 2023 COVID-19 vaccine,Very Conservative,656795ec-3ba6-234b-6eb8-1a837e7d4fd8,49,1,9,1,1,6,2,43110,10
R_3maW7HPX0Uqa9Kb,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Conservative,656795d8-8ede-08f0-3862-e46bacfe0c4d,51,1,6,1,1,5,3,42303,10
R_1K2sPkM4KJyUsf2,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Moderate,656795ea-2677-21c2-0d10-2ba0c9b3251f,43,1,1,15,1,3,1,08805,7
R_RRcSWTE1nhxnFTj,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next few months,Moderate,65679564-d7a2-b87d-4419-ac355ee6c55f,59,2,9,1,1,4,1,18301,5
R_2ZBKV7DUx3MTT4D,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I donplan on ever receiving the updated COVID-19 vaccine,Moderate,656795c3-979b-8f82-5d19-d21fdabd7993,22,1,9,1,1,4,2,47374,2
R_2QrdY1u1KgIjSGM,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next few months,Moderate,6567a4f2-8087-b764-fd73-dad06d89af4e,44,2,1,2,1,1,3,40211,1
R_1Os2nX5onzTILJp,0,0,0,The latest vaccine is not effective enough,The latest vaccine is not necessary ,0,The latest COVID-19 vaccine is not safe for children,0,0,-99,I plan on receiving the updated vaccine in the next few months,Very Conservative,6567a4e0-35bf-44c5-283e-1a8b7b0ef54b,38,1,-3105,1,1,1,4,85756,7
R_2rToCBnBwFpvKqT,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,Im not sure,Not Sure,6567a4d4-eecb-2298-dba5-29b17abced1b,54,2,4,1,1,2,3,77014,9
R_2e4kK6IhZRh6u9G,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,Im not sure,Very Liberal,6567a4cc-fd0c-abb4-f01e-14279b910d74,19,2,1,2,1,2,1,10039,3
R_2PprgEQCLjJ8XBv,0,0,0,0,0,0,0,Some other concern,0,I've never been vaccinated,I donplan on ever receiving the updated COVID-19 vaccine,Not Sure,6567a4d0-01c5-f5b0-8b75-1f1be7eb350e,18,2,25,1,1,2,3,37321,7
R_1hROxP4QbuWI8XC,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6567a4e2-e05e-53f1-3b02-0dbe829640f3,61,2,12,1,1,4,2,63051,1
R_1FyafiBHHBpQZQ7,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next month,Moderate,6567a4cc-c925-17d7-1495-85524da97dd5,64,1,13,1,1,4,2,52641,3
R_1IN7v4fBQ3XmnuF,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6567a4db-59f2-a0b9-f00e-a68911aa21ae,61,2,1,15,3,2,3,33323,7
R_2uL0eiMrimfHJlu,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Very Conservative,6568d8a2-f157-9fae-f262-df098d9141e3,51,1,22,1,1,5,4,89119,10
R_z2MLjtt2jadyeJz,0,0,0,0,The latest vaccine is not necessary ,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Moderate,6568d949-ecb9-bbf3-dc7f-9ea074ebe5cd,73,2,4,3,1,2,1,15656,10
R_1DRLLO3PMXKPGld,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,Im not sure,Moderate,6568da2e-912e-61bc-b715-d8c7483bc67f,28,2,1,15,5,6,3,77494,7
R_2EgfNrrrTjTOnNV,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Moderate,6568d962-335e-968c-0aaf-f1d9dc413e1d,30,1,6,15,1,2,3,27939,2
R_1ozFNRrwCx0Nwuj,0,0,0,0,0,0,0,Some other concern,0,It is a bio weapon. ,I donplan on ever receiving the updated COVID-19 vaccine,Very Conservative,6568d95c-62da-9e76-2e37-cab00a338ba7,46,1,10,1,1,5,2,54947,10
R_1MSRek4QWoTQfih,0,0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I plan on receiving the updated vaccine in the next few months,Liberal,6568d9c1-90f7-69d8-9c43-d0b1dd7599dd,69,2,8,1,1,6,3,33957,1
R_tYYPGbczROD84Ip,0,0,There is not enough information about long-term side effects of the latest vaccine,0,The latest vaccine is not necessary ,0,0,0,0,-99,Im not sure,Moderate,6568db3a-35b3-fd2b-e663-ec002a56b6fc,29,1,1,2,1,4,1,11413,2
R_sYatWwNMUog6WZ3,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next month,Very Liberal,6568db7f-a237-8b1d-7fb1-3b1657e67ad7,26,1,2,2,1,3,3,76120,1
R_xyANejRhTRC7fah,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I plan on receiving the updated vaccine in the next month,Conservative,6568db6f-f94e-66a3-8876-713cfcac208b,68,1,16,1,1,4,1,06811,4
R_RqLOmEm1qkEbumd,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I donplan on ever receiving the updated COVID-19 vaccine,Very Conservative,6568dae0-6135-61e9-4694-7aed6dd9dba8,57,1,7,1,1,4,3,30046,10
R_22JF1NKLdDFiJ0j,0,0,0,0,The latest vaccine is not necessary ,0,The latest COVID-19 vaccine is not safe for children,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Very Conservative,6568db28-1bda-c4da-631b-5893321d1636,40,1,21,1,1,7,2,51546,10
R_Uo43g48YnzRp7qN,0,0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6568daa2-814a-c662-34e0-4c20de35e5b3,53,2,1,1,1,5,3,21050,4
R_2YWkp7X79KNm0zf,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I donplan on ever receiving the updated COVID-19 vaccine,Not Sure,6568d8ef-5711-0d42-df02-78cfdfa966df,33,1,4,1,1,2,3,72543,7
R_1puQVWkJhAh9jFP,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I plan on receiving the updated vaccine in the next few months,Slightly Conservative,6568dbe7-f1ae-53ac-96e2-968e65f2fa5f,31,1,14,2,1,6,3,78726,4
R_3saI4OhmDExnNCj,0,0,0,0,The latest vaccine is not necessary ,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Moderate,6568db67-e52b-ebbd-3d09-315dfcaf468a,58,1,1,1,1,4,4,80249,4
R_2D7Z6fHSFrhLnOX,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Very Liberal,6568dbd2-b648-2454-3f7f-97537a4a7fb3,62,2,13,1,1,4,1,15063,5
R_rltwktQhNjQiR2x,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I plan on receiving the updated vaccine in the next month,Very Conservative,6568dbe9-1b63-5b40-c835-2acea1fee8c1,46,2,4,1,1,2,3,33901,10
R_12PBnkdW8NRgBKS,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6568dbf4-9f00-31a0-b08f-3457cc84e0f4,55,1,23,1,1,7,1,01749,4
R_3erzAvsOtjHEefO,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,"I plan on receiving the updated vaccine, but Im not sure when ",Very Liberal,6568dc28-2318-d1ee-7442-a62278df41f8,26,1,14,15,2,1,3,78566,10
R_2urdHAFSbiC5MIb,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I donplan on ever receiving the updated COVID-19 vaccine,Moderate,6568dbcb-635d-82e7-4924-7cdc1c25a723,25,2,1,1,1,2,3,41076,4
R_1MNhIxwsWRF3J26,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next month,Very Liberal,6568dbb6-2bdc-7a13-e1bd-3dc5b9ac2118,46,2,19,1,1,7,1,18902,3
R_2eVfAcSDG0wIauv,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Liberal,6568dbd8-e751-689f-72bd-a87a2a2c341e,86,2,7,1,1,6,3,21921,4
R_2DTu0LYdz15V6iU,0,0,0,0,0,0,The latest COVID-19 vaccine is not safe for children,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Very Liberal,6568dc07-d558-68ea-c5a9-bab952a56905,64,1,21,1,1,2,3,78665,4
R_1DU0Z4h09xRkw0l,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,The latest COVID-19 vaccine is not safe for children,0,0,-99,I plan on receiving the updated vaccine in the next month,Liberal,6568dc83-45a4-ff85-0bf7-22be8a39cd51,28,2,1,1,1,4,1,10460,3
R_PYUChWgQsXAg2JP,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,"I plan on receiving the updated vaccine, but Im not sure when ",Slightly Conservative,6568dc0a-118f-d7c0-1ddc-ef534f1b3e45,48,1,6,1,1,2,3,42516,9
R_3L7NAz1OdzKYNvl,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I donplan on ever receiving the updated COVID-19 vaccine,Liberal,6568db62-e7a1-f810-3090-df13621fafcc,54,1,9,1,1,6,4,89103,1
R_3iwiRmblT93C1s5,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Slightly Liberal,6568db59-c419-156e-c526-524b531f3014,77,1,18,1,1,7,3,32968,3
R_2YJ7eSXgeOxmcUt,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Very Liberal,6568dc18-3363-c0be-f648-0d3966a72cd2,19,2,21,1,1,4,2,53144,1
R_2Cv3RKST2IpmFOQ,0,0,0,0,0,0,0,Some other concern,0,I don't trust any of the covid-19,I donplan on ever receiving the updated COVID-19 vaccine,Not Sure,6568daba-e3a5-f5cd-9414-dc441cfcb16c,62,2,3,1,1,4,3,75471,7
R_z2A20Qw914D1uCJ,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,"I plan on receiving the updated vaccine, but Im not sure when ",Moderate,6568dc31-2cb2-ddff-a8b4-df0fcd6bba68,38,2,1,2,4,4,1,10457,2
R_1JJCSEr8BdL6XoM,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Conservative,6568dc94-98eb-58b2-5a57-6f4717d9168c,58,2,8,1,1,5,4,85085,7
R_1kTwxLtLMUS2x0F,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I already received the updated 2023 COVID-19 vaccine,Slightly Liberal,6568dc6b-ed0e-5006-8705-60bf8e23e71c,65,1,19,1,1,6,2,55427,3
R_1nUCILKrQ8nCuQx,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Conservative,6568dc1e-4a00-4cd7-ae21-646929577b6a,35,2,16,1,1,5,1,13601,9
R_1GwPuC1D1DVVNWm,"I am a parent, guardian, or caretaker of a child 18 or under",0,There is not enough information about long-term side effects of the latest vaccine,0,The latest vaccine is not necessary ,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I plan on receiving the updated vaccine in the next month,Moderate,6568dc05-9c94-303e-79f5-8af7ad1d1490,37,2,2,1,1,2,1,15301,4
R_2ayis3LkaMxklFP,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,0,0,0,Some other concern,0,Its hard to find for kids ,I already received the updated 2023 COVID-19 vaccine,Liberal,6568dc55-8616-f806-beab-31cf02da97d2,43,2,19,1,1,7,3,40241,1
R_ThJYNpbH5cKeq9X,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Slightly Liberal,6568dc24-a0ff-cc8a-492c-94e45f873a95,49,2,7,1,1,6,3,32669,3
R_2Yc6WFSNWTMRjpU,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,Some other concern,0,Government mandates and misinformation to justify mandates,I donplan on ever receiving the updated COVID-19 vaccine,Liberal,6568daf5-d9bf-b410-f658-b60fd963deec,56,1,22,15,1,6,4,96813,5
R_3HYp4JK8TRiNTb6,"I am a parent, guardian, or caretaker of a child 18 or under",0,There is not enough information about long-term side effects of the latest vaccine,The latest vaccine is not effective enough,0,0,0,0,0,-99,I already received the updated 2023 COVID-19 vaccine,Conservative,6568dc7a-c779-f97f-8e01-87c329e50934,43,1,8,1,1,5,2,46725,8
R_Aj7omF4Trp7vJWF,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,The latest vaccine is not necessary ,0,0,0,0,-99,I plan on receiving the updated vaccine in the next few months,Moderate,6568dc4c-40c9-4b6d-65c2-fc005e79de9e,30,1,4,1,1,2,2,44077,5
R_XZcQ2wRGVQu7taV,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next month,Moderate,6568dbb6-a608-fd97-c5c1-6af3a39d9af6,71,1,3,1,1,2,3,33597,2
R_3qe6UjGVH8sgQIa,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Moderate,6568dc2b-78c8-664a-9301-8ded49ceccd6,47,2,5,1,1,6,1,10011,2
R_24DdUPfrkVxeEul,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6568dbb8-0f75-3eaa-ed01-5192d8c5a3de,57,1,3,1,1,2,3,78123,4
R_1mzqnUw8SZDlLhR,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Conservative,6568db8a-d136-cf3a-0766-6be95b3b82a0,76,1,3,1,1,5,4,97540,10
R_2qqSYfvC8OxL0ub,0,0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I plan on receiving the updated vaccine in the next few months,Liberal,6568dc7d-1bac-d774-d8cd-542565c643e0,32,1,24,1,1,7,3,73142,1
R_Xil3Hqp5TtFtq3n,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Liberal,6568dbee-15bb-d7fa-282c-650e157a78ef,66,2,5,1,1,7,3,20772,3
R_3PSSzoh6lK7STWs,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,The latest vaccine is not necessary ,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Slightly Conservative,6568dc2c-4b4c-6563-ca4f-7830ccc9134e,46,2,16,1,1,4,3,78259,9
R_1gvXAbRNfaMfVzj,0,0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I plan on receiving the updated vaccine in the next few months,Very Liberal,6568dbe8-9c2b-2a3d-7b32-ae137c76cac0,21,2,5,1,1,4,2,65201,1
R_3peR4hqzQbpO7Mt,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next few months,Liberal,6568dca5-3820-c530-d467-d124219e84e8,75,2,14,1,1,6,1,19086,1
R_20MVekZYwpvnZFo,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Liberal,6568dc42-f3e7-be76-7438-7ce030297934,18,2,24,2,12,2,3,20011,10
R_3rUpNbSIVSCPPny,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6568db08-56e0-4f77-493f-dc7b28d55be2,69,1,1,1,1,5,4,80631,4
R_b3CMHgNb7cg2P05,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6568dc47-aa42-1cce-4d59-0f319b99210b,58,1,5,1,1,6,3,32701,3
R_2xKaIjLz8bgZkIb,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next month,Liberal,6568dc80-27a9-dcae-1412-9bb775ffe485,60,2,18,1,1,7,3,33029,4
R_2sbyfAuVy7TqxeM,0,0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I already received the updated 2023 COVID-19 vaccine,Conservative,6568dd10-22f7-d7b6-0fb8-b42bd8bed57d,35,1,4,1,1,2,1,07480,8
